"START DATE","USAGE","COST"
15-07-2016,783,196.84
23-08-2016,375,99.82
22-09-2016,211,64.31
21-10-2016,243,72.48
22-11-2016,218,68.42
22-12-2016,192,59.46
25-01-2017,156,54.61
24-02-2017,142,50.43
25-03-2017,181,55.92
22-04-2017,186,63.22
23-05-2017,309,89.11
22-06-2017,551,143.81
22-07-2017,493,126.11
22-08-2017,304,85.29
21-09-2017,289,84.23
20-10-2017,192,62.03
21-11-2017,165,52.58
21-12-2017,135,52.29
24-01-2018,147,49.54
23-02-2018,149,53.10
24-03-2018,141,51.88
24-04-2018,183,61.12
23-05-2018,321,95.64
22-06-2018,556,158.26
24-07-2018,487,133.20
22-08-2018,379,103.34
21-09-2018,201,65.84
20-10-2018,170,57.34
21-11-2018,143,47.94
21-12-2018,146,52.33
24-01-2019,135,45.80
23-02-2019,138,48.87
26-03-2019,129,41.82
24-04-2019,134,42.47
23-05-2019,175,54.79